method,circuit,resynthesis,error,max_depth,one_tree_per_output,mred,v_mred,med,v_med,hd,v_hd,wce,v_wce,time,area
outconst,barshift_128b,True,0.5,,False,0.4,0.409,4.34535609380901E+037,4.11999467936494E+037,62.871,63.334,8.50121580617113E+037,8.47544337644825E+037,120.110375217992,0.126296580868229
outconst,sobel,False,0.25,,False,0.246,0.247,48.172,48.507,4.307,4.298,63,63,5.61335471298662,0.959474566797093
outconst,sobel,True,0.25,,False,0.246,0.247,48.172,48.507,4.307,4.298,63,63,9.07134157100518,0.82811626607043
outconst,sobel,False,0.5,,False,0.497,0.495,100.034,99.964,5.118,5.102,127,127,30.1181758649909,0.949972051425377
outconst,sobel,True,0.5,,False,0.497,0.495,100.034,99.964,5.118,5.102,127,127,12.2188301029964,0.836221352711012
outconst,BK_32b,False,0.25,,False,0.169,0.169,536583324.373,531745510.392,14.985,14.954,1073710192,1073732753,4.69644819899986,0.508087535680304
outconst,BK_32b,True,0.25,,False,0.169,0.169,536583324.373,531745510.392,14.985,14.954,1073710192,1073732753,5.93862359700142,0.420551855375833
outconst,BK_32b,False,0.5,,False,0.327,0.324,1075514784.514,1066359425.321,15.487,15.451,2147423081,2147365649,4.24575613898924,0.499524262607041
outconst,BK_32b,True,0.5,,False,0.327,0.324,1075514784.514,1066359425.321,15.487,15.451,2147423081,2147365649,11.4097986999986,0.41674595623216
outconst,KS_32b,False,0.25,,False,0.169,0.167,536829376.608,538879220.797,15.017,15.025,1073643055,1073731004,11.5021864949958,0.778456837280367
outconst,KS_32b,True,0.25,,False,0.169,0.167,536829376.608,538879220.797,15.017,15.025,1073643055,1073731004,11.1978503459977,0.530939648586707
outconst,KS_32b,False,0.5,,False,0.327,0.325,1073118828.919,1083828901.65,15.517,15.533,2147384879,2147472828,10.9223646089959,0.771581359816654
outconst,KS_32b,True,0.5,,False,0.327,0.325,1073118828.919,1083828901.65,15.517,15.533,2147384879,2147472828,9.47009613200498,0.521008403361345
outconst,CLA_16b,False,0.25,,False,0.167,0.163,8204.689,8122.642,6.99,7.004,16383,16381,6.67192076898937,0.639705882352941
outconst,CLA_16b,True,0.25,,False,0.167,0.163,8204.689,8122.642,6.99,7.004,16383,16381,6.45285089200479,0.439338235294118
outconst,CLA_16b,False,0.5,,False,0.323,0.319,16365.425,16248.962,7.488,7.5,32767,32761,6.12125535399537,0.623161764705882
outconst,CLA_16b,True,0.5,,False,0.323,0.319,16365.425,16248.962,7.488,7.5,32767,32761,7.93482089600002,0.448529411764706
outconst,BK_16b,False,0.25,,False,0.168,0.17,8166.13,8177.864,7.004,6.995,16382,16381,6.19058180000866,0.538910505836576
outconst,BK_16b,True,0.25,,False,0.168,0.17,8166.13,8177.864,7.004,6.995,16382,16381,8.28780828800518,0.501945525291829
outconst,BK_16b,False,0.5,,False,0.326,0.331,16329.736,16388.235,7.503,7.496,32766,32761,7.50631688701105,0.505836575875486
outconst,BK_16b,True,0.5,,False,0.326,0.331,16329.736,16388.235,7.503,7.496,32766,32761,9.90445412299596,0.441634241245136
outconst,CSkipA_16b,False,0.25,,False,0.17,0.168,8239.731,8223.742,7.004,7.011,16383,16382,6.27879274000588,0.538910505836576
outconst,CSkipA_16b,True,0.25,,False,0.17,0.168,8239.731,8223.742,7.004,7.011,16383,16382,9.18285565900442,0.492217898832685
outconst,CSkipA_16b,False,0.5,,False,0.326,0.326,16388.849,16394.618,7.501,7.51,32767,32765,7.65500092599541,0.505836575875486
outconst,CSkipA_16b,True,0.5,,False,0.326,0.326,16388.849,16394.618,7.501,7.51,32767,32765,9.99695943799452,0.429961089494163
outconst,KS_16b,False,0.25,,False,0.168,0.172,8168.621,8252.651,6.986,7.019,16382,16382,7.59819137799786,0.758518518518519
outconst,KS_16b,True,0.25,,False,0.168,0.172,8168.621,8252.651,6.986,7.019,16382,16382,9.25988994298677,0.354074074074074
outconst,KS_16b,False,0.5,,False,0.328,0.329,16392.11,16268.536,7.487,7.509,32766,32766,6.45219834499585,0.739259259259259
outconst,KS_16b,True,0.5,,False,0.328,0.329,16392.11,16268.536,7.487,7.509,32766,32766,7.31193962899852,0.308148148148148
outconst,LFA_16b,False,0.25,,False,0.168,0.166,8226.754,8182.34,6.993,7.006,16383,16380,6.35767712400411,0.538910505836576
outconst,LFA_16b,True,0.25,,False,0.168,0.166,8226.754,8182.34,6.993,7.006,16383,16380,9.45087446499383,0.48443579766537
outconst,LFA_16b,False,0.5,,False,0.328,0.325,16534.215,16470.793,7.5,7.512,32767,32764,7.72929491399555,0.505836575875486
outconst,LFA_16b,True,0.5,,False,0.328,0.325,16534.215,16470.793,7.5,7.512,32767,32764,10.1494275410078,0.414396887159533
outconst,WT_8b,False,0.25,,False,0.221,,984.938,,4.951,,2047,,19.5458025219996,0.929942418426104
outconst,WT_8b,True,0.25,,False,0.221,,984.938,,4.951,,2047,,21.639838107003,0.912667946257198
outconst,WT_8b,False,0.5,,False,0.495,,3651.125,,5.83,,8191,,116.312084888006,0.916506717850288
outconst,WT_8b,True,0.5,,False,0.495,,3651.125,,5.83,,8191,,50.4010386559967,0.914107485604607
