method,circuit,resynthesis,error,max_depth,one_tree_per_output,mred,v_mred,med,v_med,hd,v_hd,wce,v_wce,time,area
decision_tree,fwrdk2j,True,,3,False,2496259.47,335894.95,4.62671931974164E+018,4.69933858042761E+018,24.692,24.75,2.14817368312209E+019,2.14814644511078E+019,6.43129241600036,0.0062471685066406
decision_tree,fwrdk2j,True,,3,True,22950711.469,13119639.663,4.29626012439656E+018,4.69932617050095E+018,22.385,26.062,2.14839976096665E+019,2.14788465746072E+019,6.49884365399976,0.0203152197238847
decision_tree,fwrdk2j,False,,5,False,8503.916,17112640.023,3.80045592828891E+018,7.38420830668738E+018,22.762,27.906,2.14819515951564E+019,2.14798390196365E+019,6.61003196100046,0.0454231145234746
decision_tree,fwrdk2j,False,,5,True,1169.55,39816226.423,6.61142900839574E+017,6.0419197777187E+018,11.915,26.031,2.14820128096664E+019,2.14818184600006E+019,7.03969185499955,0.0903455018002337
decision_tree,fwrdk2j,True,,5,False,8255.06,17112641.41,3.80045401621015E+018,7.38425154949988E+018,22.708,27.906,2.14819515951564E+019,2.14798390196365E+019,7.21462103999966,0.0452085171320251
decision_tree,fwrdk2j,True,,5,True,1092.59,32082.853,3.30805344206129E+017,4.02871973447933E+018,11.838,25,2.14820128096664E+019,2.14842046700006E+019,7.68380017900017,0.0907508524285271
decision_tree,fwrdk2j,False,,8,False,0.024,13120437.256,49563789157015.1,8.05492313555353E+018,1.046,26.031,2148139076136724,2.14817367915265E+019,8.81313658599993,0.193256873077565
decision_tree,fwrdk2j,False,,8,True,0,32438.389,0,6.04155247047689E+018,0,26.594,0,2.14843682000006E+019,7.41087940399939,0.120365292448556
decision_tree,fwrdk2j,True,,8,False,0.024,13098286.955,49563789157015.1,5.37064134390355E+018,1.046,25.531,2148139076136724,2.14817367915265E+019,11.0005591529998,0.187796561672906
decision_tree,fwrdk2j,True,,8,True,0,12810650.882,0,6.7130294626597E+018,0,26.5,0,2.14826038896366E+019,8.88441247500032,0.120818331386061
decision_tree,KS_32b,False,,3,False,0.229,0.234,781319667.099,793123496.272,15.586,15.944,2889183094,2808198035,1.6848875529995,0.201680672268908
decision_tree,KS_32b,False,,3,True,0.463,0.491,1456729233.971,1491697781.988,15.302,15.945,4974765800,5141894620,2.57951994199993,0.538579067990833
decision_tree,KS_32b,True,,3,False,0.229,0.234,781319667.099,793123496.272,15.586,15.944,2889183094,2808198035,1.99337823400037,0.204736440030558
decision_tree,KS_32b,True,,3,True,0.463,0.491,1456729233.971,1491697781.988,15.302,15.945,4974765800,5141894620,2.97102903500036,0.533995416348358
decision_tree,KS_32b,False,,5,False,0.118,0.125,352648344.553,353605751.723,14.884,15.515,1476466971,1447500964,2.36511129500013,1.06875477463713
decision_tree,KS_32b,False,,5,True,0.434,0.477,1365315248.787,1446268815.072,14.148,15.456,4715478692,4631022555,5.97721395799999,2.67532467532468
decision_tree,KS_32b,True,,5,False,0.118,0.125,352648344.553,353605751.723,14.884,15.515,1476466971,1447500964,2.90860409000015,1.05653170359053
decision_tree,KS_32b,True,,5,True,0.434,0.477,1365316095.007,1446272643.515,14.145,15.459,4715478692,4631022555,7.30380652099939,2.64782276546982
decision_tree,KS_32b,False,,8,False,0.05,0.054,168117563.834,179002253.76,13.49,14.984,4293410712,4133379057,13.5010102489996,7.45760122230711
decision_tree,KS_32b,False,,8,True,0.364,0.457,1154356535.517,1379966341.078,11.085,14.484,4513938934,4367559289,50.4953147840006,19.1993888464477
decision_tree,KS_32b,True,,8,False,0.05,0.054,168117563.834,179002253.76,13.49,14.984,4293410712,4133379057,15.28678356,7.26508785332315
decision_tree,KS_32b,True,,8,True,0.364,0.457,1154390851.358,1379911523.81,11.087,14.472,4513938934,4367559289,57.6385460279998,19.2024446142093
decision_tree,Mul_32b,False,,3,False,5.608,8.989,6.2310127016799E+018,7.80295971101987E+018,,,1.82953274012609E+019,1.83740938601379E+019,4.3930480580002,0.00927537738055029
decision_tree,Mul_32b,False,,3,True,7.897,33.146,5.3635085747391E+018,9.58469514682877E+018,,,1.79751283542749E+019,1.83349064339556E+019,4.52644433600017,0.0286315570682533
decision_tree,Mul_32b,True,,3,False,5.608,8.989,6.2310127016799E+018,7.80295971101987E+018,,,1.82953274012609E+019,1.83740938601379E+019,4.67032924299929,0.00878172984489075
decision_tree,Mul_32b,True,,3,True,7.368,37.41,5.39411374676506E+018,1.00027526263296E+019,,,1.77755428195226E+019,1.83349064339556E+019,4.96892729299998,0.0287354828652342
decision_tree,Mul_32b,False,,5,False,4.975,38.804,3.67957919710927E+018,9.34693551414998E+018,,,1.79775901605604E+019,1.82299125714359E+019,4.91770720900058,0.0611343500740471
decision_tree,Mul_32b,False,,5,True,3.222,43.997,2.45790552514312E+018,8.18010842803825E+018,,,1.67894903965132E+019,1.76720594112549E+019,5.77389470900016,0.146197614902959
decision_tree,Mul_32b,True,,5,False,4.975,38.821,3.67957919710927E+018,9.61732497210096E+018,,,1.79775901605604E+019,1.82299125714359E+019,5.66427167599977,0.0595754631193328
decision_tree,Mul_32b,True,,5,True,3.577,46.019,2.43543457260112E+018,8.95446207514859E+018,,,1.61769298615148E+019,1.79394534275967E+019,7.46100017200024,0.149081555769181
decision_tree,Mul_32b,False,,8,False,0.091,35.44,4.5304491304606E+017,8.82811144122042E+018,,,1.72952505005218E+019,1.83744413519773E+019,9.94612207800037,0.35781651900543
decision_tree,Mul_32b,False,,8,True,0,43.94,257.227,8.2710011642384E+018,,,1001,1.78065905275719E+019,7.48194876300022,0.271012497077087
decision_tree,Mul_32b,True,,8,False,0.09,26.968,4.49310721338712E+017,9.57596633563193E+018,,,1.72952505005218E+019,1.83744413519773E+019,14.3829000469996,0.352932006547325
decision_tree,Mul_32b,True,,8,True,0,44.233,257.227,8.19213336954536E+018,,,1001,1.76585282072538E+019,10.6571578479998,0.269765387513315
decision_tree,CLA_16b,False,,3,False,0.22,0.217,10804.464,10863.981,7.778,7.878,40590,40929,1.51687794600002,0.299632352941176
decision_tree,CLA_16b,False,,3,True,0.474,0.468,22570.985,22826.942,7.923,8.121,78362,77455,2.10361806699984,0.59375
decision_tree,CLA_16b,True,,3,False,0.22,0.217,10804.464,10863.981,7.778,7.878,40590,40929,1.79342370599989,0.286764705882353
decision_tree,CLA_16b,True,,3,True,0.474,0.468,22570.985,22826.942,7.923,8.121,78362,77455,2.39372310099952,0.595588235294118
decision_tree,CLA_16b,False,,5,False,0.119,0.117,5634.124,5688.02,7.266,7.457,23736,23161,2.53767950899965,1.53308823529412
decision_tree,CLA_16b,False,,5,True,0.455,0.468,21480.517,22153.047,7.459,7.836,70690,70536,4.38969251500021,3.19117647058824
decision_tree,CLA_16b,True,,5,False,0.119,0.117,5634.124,5688.02,7.266,7.457,23736,23161,2.76199270600046,1.41360294117647
